Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,ProducaoOleoMetrosCubicos,Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
2026,01/2026,Rio Grande do Norte,Potiguar,PESCADA,7-PE-1D-RNS,MAR,PLATAFORMA DE PESCADA 1B,0,"107,496","263,179",0,"1,838",,,,,,,,
2026,01/2026,Rio Grande do Norte,Potiguar,PESCADA,3-RNS-88DB-RN,MAR,PLATAFORMA DE PESCADA 1B,0,"69,271","168,755",0,"0,675",,,,,,,,
2026,01/2026,Rio Grande do Norte,Potiguar,PESCADA,3-RNS-84-RN,MAR,PLATAFORMA DE PESCADA 1B,0,"285,966","1875,73",0,"41,442",,,,,,,,
2026,01/2026,Rio de Janeiro,Campos,BARRACUDA,7-BR-40HP-RJS,MAR,Petrobras 43,"11858,034",0,"1025,569",0,"7687,356",,,,,,,,
2026,01/2026,Rio de Janeiro,Campos,BARRACUDA,7-BR-36HPA-RJS,MAR,Petrobras 43,"7025,569",0,"591,127",0,"12764,767",,,,,,,,
2026,01/2026,Rio de Janeiro,Campos,BARRACUDA,7-BR-29HPA-RJS,MAR,Petrobras 43,"4458,188",0,"609,69",0,"8665,277",,,,,,,,
2026,01/2026,Rio de Janeiro,Campos,BARRACUDA,7-BR-31HP-RJS,MAR,Petrobras 43,"2425,272",0,"945,23",0,"17737,454",,,,,,,,
2026,01/2026,Rio de Janeiro,Campos,BARRACUDA,7-BR-44HP-RJS,MAR,Petrobras 43,"7488,796",0,"359,693",0,"6553,123",,,,,,,,
2026,01/2026,Rio de Janeiro,Campos,BARRACUDA,7-BR-83HA-RJS,MAR,Petrobras 43,"28387,58",0,"2328,367",0,"2168,042",,,,,,,,
2026,01/2026,Rio de Janeiro,Campos,BARRACUDA,7-BR-42HP-RJS,MAR,Petrobras 43,"11537,142",0,"1360,473",0,"6567,552",,,,,,,,
2026,01/2026,Rio de Janeiro,Campos,BARRACUDA,6-BR-3-RJS,MAR,Petrobras 43,"3313,63",0,"443,509",0,"12596,918",,,,,,,,
