Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,ProducaoOleoMetrosCubicos,Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
2022,02/2022,Rio de Janeiro,Campos,FRADE,7-FR-42H-RJS,MAR,FPSO FRADE,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,FRADE,7-FR-2HP-RJS,MAR,FPSO FRADE,0,0,0,0,0,,,,,,,,
2022,02/2022,São Paulo,Santos,BAÚNA,7-BAN-2-SPS,MAR,FPSO CIDADE DE ITAJAÍ,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,POLVO,7-POL-7HP-RJS,MAR,Polvo A,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,POLVO,7-POL-12H-RJS,MAR,Polvo A,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,POLVO,7-POL-15H-RJS,MAR,Polvo A,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,4-RJS-338-RJS,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,3-RJS-394D-RJ,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,7-MA-6D-RJS,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,7-MA-8D-RJS,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,7-MA-9D-RJS,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,7-MA-22-RJS,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,7-MA-10-RJS,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,3-RJS-450D-RJ,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,7-MA-27HA-RJS,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,4-MA-11-RJS,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
2022,02/2022,Rio de Janeiro,Campos,MARIMBÁ,4-MA-12-RJS,MAR,Plataforma 08,0,0,0,0,0,,,,,,,,
