Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,ProducaoOleoMetrosCubicos,Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
2023,03/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-39H-RJS,MAR,PLATAFORMA DE PAMPO 1,"12,513",0,"3,57",0,"57,714",,,,,,,,
2023,03/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-41HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"35,162",0,"4,573",0,"410,302",,,,,,,,
2023,03/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-50HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"31,17",0,"7,198",0,"281,692",,,,,,,,
2023,03/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-38D-RJS,MAR,PLATAFORMA DE PAMPO 1,"30,939",0,"5,021",0,"71,564",,,,,,,,
2023,03/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-21D-RJS,MAR,PLATAFORMA DE PAMPO 1,"43,185",0,"1,679",0,"33,867",,,,,,,,
2023,02/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-39H-RJS,MAR,PLATAFORMA DE PAMPO 1,"9,001",0,"2,145",0,"39,502",,,,,,,,
2023,02/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-41HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"31,341",0,"3,541",0,"352,871",,,,,,,,
2023,02/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-50HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"27,342",0,"5,569",0,"242,548",,,,,,,,
2023,02/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-38D-RJS,MAR,PLATAFORMA DE PAMPO 1,"20,094",0,"2,739",0,"44,763",,,,,,,,
2023,02/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-21D-RJS,MAR,PLATAFORMA DE PAMPO 1,"38,838",0,"1,266",0,"29,473",,,,,,,,
2023,04/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-39H-RJS,MAR,PLATAFORMA DE PAMPO 1,"3,118",0,"1,2",0,"17,559",,,,,,,,
2023,04/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-41HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"26,902",0,"4,509",0,"390,69",,,,,,,,
2023,04/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-50HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"32,437",0,"1,669",0,"252,987",,,,,,,,
2023,04/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-38D-RJS,MAR,PLATAFORMA DE PAMPO 1,"10,001",0,"2,254",0,"28,147",,,,,,,,
2023,04/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-21D-RJS,MAR,PLATAFORMA DE PAMPO 1,"19,515",0,"1,066",0,"18,658",,,,,,,,
2023,10/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-39H-RJS,MAR,PLATAFORMA DE PAMPO 1,"4,394",0,"0,904",0,"24,523",,,,,,,,
2023,10/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-41HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"6,62",0,"1,486",0,"185,588",,,,,,,,
2023,10/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-38D-RJS,MAR,PLATAFORMA DE PAMPO 1,"13,881",0,"2,916",0,"51,761",,,,,,,,
2023,10/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-50HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"20,638",0,"1,951",0,"218,747",,,,,,,,
2023,10/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-21D-RJS,MAR,PLATAFORMA DE PAMPO 1,"23,557",0,"0,664",0,"23,728",,,,,,,,
2023,08/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-41HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"6,774",0,"2,151",0,"165,088",,,,,,,,
2023,08/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-50HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"25,527",0,"2,717",0,"263,463",,,,,,,,
2023,08/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-38D-RJS,MAR,PLATAFORMA DE PAMPO 1,"10,255",0,"1,866",0,"31,279",,,,,,,,
2023,08/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-21D-RJS,MAR,PLATAFORMA DE PAMPO 1,"31,203",0,"1,112",0,"29,925",,,,,,,,
2023,09/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-41HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"9,018",0,"2,456",0,"249,395",,,,,,,,
2023,09/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-39H-RJS,MAR,PLATAFORMA DE PAMPO 1,"10,047",0,"2,428",0,"57,791",,,,,,,,
2023,09/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-38D-RJS,MAR,PLATAFORMA DE PAMPO 1,"19,017",0,"4,204",0,"71,785",,,,,,,,
2023,09/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-50HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"28,037",0,"2,849",0,"301,296",,,,,,,,
2023,09/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-21D-RJS,MAR,PLATAFORMA DE PAMPO 1,"33,832",0,"1,109",0,"33,955",,,,,,,,
2023,11/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-39H-RJS,MAR,PLATAFORMA DE PAMPO 1,"5,758",0,"1,227",0,"28,058",,,,,,,,
2023,11/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-41HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"8,291",0,"1,973",0,"200,464",,,,,,,,
2023,11/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-21D-RJS,MAR,PLATAFORMA DE PAMPO 1,"15,246",0,"0,435",0,"12,874",,,,,,,,
2023,11/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-38D-RJS,MAR,PLATAFORMA DE PAMPO 1,"17,912",0,"3,512",0,"59,45",,,,,,,,
2023,11/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-50HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"26,453",0,"2,346",0,"252,007",,,,,,,,
2023,12/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-50HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"29,761",0,"2,692",0,"307,845",,,,,,,,
2023,12/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-21D-RJS,MAR,PLATAFORMA DE PAMPO 1,"36,367",0,"1,062",0,"35,2",,,,,,,,
2023,12/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-39H-RJS,MAR,PLATAFORMA DE PAMPO 1,"9,722",0,"2,113",0,"55,423",,,,,,,,
2023,12/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-41HP-RJS,MAR,PLATAFORMA DE PAMPO 1,"10,012",0,"2,55",0,"268,494",,,,,,,,
2023,12/2023,Rio de Janeiro,Campos,LINGUADO,7-PM-38D-RJS,MAR,PLATAFORMA DE PAMPO 1,"20,933",0,"4,128",0,"76,469",,,,,,,,
2023,01/2023,São Paulo,Santos,NOROESTE DE SAPINHOÁ,9-BRSA-928-SPS,MAR,FPSO CIDADE DE SÃO PAULO,"0,006",0,"0,001",0,"0,002",,,,,,,,
2023,04/2023,São Paulo,Santos,NOROESTE DE SAPINHOÁ,9-BRSA-928-SPS,MAR,FPSO CIDADE DE SÃO PAULO,"0,005",0,"0,001",0,"0,001",,,,,,,,
2023,05/2023,Rio de Janeiro,Santos,SUL DE BERBIGÃO,4-BRSA-1226-RJS,MAR,Petrobras 68,"103826,09",0,"16440,303",0,"43,216",,,,,,,,
2023,04/2023,Rio de Janeiro,Santos,SUL DE BERBIGÃO,4-BRSA-1226-RJS,MAR,Petrobras 68,"42827,885",0,"6901,891",0,0,,,,,,,,
2023,03/2023,Rio de Janeiro,Santos,SUL DE BERBIGÃO,4-BRSA-1226-RJS,MAR,Petrobras 68,"80263,436",0,"11021,984",0,0,,,,,,,,
2023,06/2023,Rio de Janeiro,Santos,AnC_NORTE_ATAPU,7-OATP-1-RJS,MAR,PETROBRAS 70,"0,011",0,"0,002",0,0,,,,,,,,
2023,11/2023,Rio de Janeiro,Santos,AnC_TUPI,7-LL-63D-RJS,MAR,FPSO CIDADE DE MARICÁ,"0,004",0,"0,001",0,"0,003",,,,,,,,
2023,11/2023,Rio de Janeiro,Santos,SUL DE BERBIGÃO,4-BRSA-1226-RJS,MAR,Petrobras 68,"96734,184",0,"27639,491",0,"83,482",,,,,,,,
2023,12/2023,Rio de Janeiro,Santos,SUL DE BERBIGÃO,4-BRSA-1226-RJS,MAR,Petrobras 68,"86783,164",0,"26263,033",0,"70,856",,,,,,,,
2023,05/2023,São Paulo,Santos,LAPA,8-LPA-2D-SPS,MAR,FPSO Cidade de Caraguatatuba - CCG (MV-27),"72032,93",0,"23784,611",0,"2578,47",,,,,,,,
2023,05/2023,São Paulo,Santos,LAPA,7-LPA-5D-SPS,MAR,FPSO Cidade de Caraguatatuba - CCG (MV-27),"69187,78",0,"12285,316",0,"5106,01",,,,,,,,
2023,12/2023,Rio de Janeiro,Campos,PEREGRINO,7-PRG-52HP-RJS,MAR,PEREGRINO A,"0,184",0,"0,001",0,"1,859",,,,,,,,
2023,05/2023,São Paulo,Santos,LAPA,7-LPA-6D-SPS,MAR,FPSO Cidade de Caraguatatuba - CCG (MV-27),"89252,66",0,"17145,678",0,"1585,62",,,,,,,,
2023,01/2023,São Paulo,Santos,NORDESTE DE SAPINHOÁ,9-BRSA-928-SPS,MAR,FPSO CIDADE DE SÃO PAULO,"0,001",0,0,0,0,,,,,,,,
2023,05/2023,Rio de Janeiro,Santos,AnC_TUPI,7-LL-85-RJS,MAR,FPSO CIDADE DE SAQUAREMA,"0,001",0,0,0,"0,001",,,,,,,,
2023,03/2023,São Paulo,Santos,NOROESTE DE SAPINHOÁ,9-BRSA-928-SPS,MAR,FPSO CIDADE DE SÃO PAULO,"0,004",0,0,0,"0,001",,,,,,,,
