feature,coeficiente,erro_padrao,p_valor
const,161455.52137233087,19490.484944414497,1.2039084432854567e-16
injecao_nitrogenio_mm3,-456.9622525299429,142.76386686951946,0.001370667676126252
ano,-78.8968816715269,9.6476423549642,2.9150177510583095e-16
injecao_polimeros_m3,-14.15066519050647,24.20964021233292,0.5588813372375461
producao_gas_associado_mm3,3.2499385721459215,0.003783786662523624,0.0
producao_condensado_m3,-0.23748884297556427,0.12326316218384334,0.05402148648466758
producao_agua_m3,0.13671732019668956,0.0017485889669332964,0.0
producao_gas_nao_associado_mm3,-0.06148733789580526,0.01696419959641074,0.0002895901507552625
injecao_gas_mm3,-0.04112290483697085,0.007432254060871276,3.153348673210605e-08
injecao_gas_carbonico_mm3,0.033111774730507124,0.023875501341878675,0.1654893886784198
injecao_agua_descarte_m3,-0.016675154508238997,0.01202333556048057,0.16547483859262857
injecao_agua_recuperacao_secundaria_m3,-0.015200187013804654,0.0007269334472107596,6.236563522689886e-97
