Modelo,MSE,RMSE,MAE,R2,R2_ajustado
KNN Regressor,60163973.52692617,7756.543916392543,2582.79280632665,0.9015869500356052,
Regressao Linear Simples,99101826.60928316,9954.990035619481,4961.469565391496,0.8378944667061046,
Regressao Linear Multipla,93978782.66518676,9694.26545258519,4331.467472657362,0.8462744713847269,0.8462446307223526
